# ['gamma', 'delta', 'b_0, b_1, b_2'], ['D0', 'a20', 'a01', 'a21', 'a10', 'a11', 'c1', 'c11']
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-0.9702857608108167 0.32326650413478086 -5.869410112780155 0.02372137764863434 -2.802908938367555e-05 81.96400874851889 -7.935490747566053e-06 -0.529598497534922 -1.5631873588378806e-06 0.0008879381196871881 -0.0015901905925265242 0.1671191758392446 0.00200039487331165
-0.9702852656796157 0.32326634022620726 -5.869409459027221 0.0237213783746954 -2.8029096591128168e-05 81.92601031285986 -7.941743475212676e-06 -0.5269253903242455 -1.5549817841373023e-06 0.0008887048264366823 -0.0016174903621363414 0.1668975808032348 0.0019995398383750597
-0.9702852656796157 0.32326634022620726 -5.869409459027221 0.0237213783746954 -2.8029096591128168e-05 81.92601048427741 -7.941743638675692e-06 -0.5269253917015553 -1.5549810403811519e-06 0.0008887048433684904 -0.0016174903259797372 0.1668975839253966 0.0019995398359080674
-0.9709561805958884 0.32326725417898583 -5.879890852735931 0.023742119615775138 -2.7997847554518654e-05 81.91492989933451 -7.94614998233532e-06 -0.5250963776146456 -1.539643112973421e-06 0.0008895886894511745 -0.001627255054706209 0.1664088852317291 0.0020009088170146777
-0.9709559631537064 0.3232669865150223 -5.879882101575506 0.02374213155915743 -2.799801523937694e-05 81.91402520773357 -7.946701149678835e-06 -0.525174075221873 -1.540003494513215e-06 0.0008897118685279243 -0.001627208065831631 0.16643214274931628 0.0020007505311057713
-0.9710800564160476 0.32328901998753024 -5.880425887057378 0.02374343849643016 -2.799781403742078e-05 81.90233231508344 -7.952878253958837e-06 -0.5256122766121967 -1.4721564782808426e-06 0.0008901795593290355 -0.0016246701178572547 0.16697783904086994 0.0019971555615430747
-0.9691257195380535 0.3225801360373899 -5.887014709675843 0.023773401939497237 -2.803001030852729e-05 81.89682841725357 -7.95547602079497e-06 -0.5254473381495017 -1.4732220837963964e-06 0.0008906214383349665 -0.0016216536541576259 0.16712518153988032 0.0019974447779669635
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682628155393 -7.955472849419634e-06 -0.5254468570874665 -1.4732365049946217e-06 0.0008906209274933219 -0.0016216491178496228 0.1671248448336474 0.001997444640123386
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682573894243 -7.955472654831751e-06 -0.5254467058084095 -1.4732401285848983e-06 0.0008906209257886509 -0.00162164887994462 0.16712479850551615 0.0019974448998951594
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682587931651 -7.955472686392592e-06 -0.5254467154354905 -1.4732398141125096e-06 0.0008906209279730391 -0.0016216488784986899 0.16712479924410795 0.001997444927317631
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682587931651 -7.955472686392592e-06 -0.5254467154354905 -1.4732398141125096e-06 0.0008906209279730391 -0.0016216488784986899 0.16712479924410795 0.001997444927317631
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682587931651 -7.955472686392592e-06 -0.5254467154354905 -1.4732398141125096e-06 0.0008906209279730391 -0.0016216488784986899 0.16712479924410795 0.001997444927317631
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682587931651 -7.955472686392592e-06 -0.5254467154354905 -1.4732398141125096e-06 0.0008906209279730391 -0.0016216488784986899 0.16712479924410795 0.001997444927317631
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682587931651 -7.955472686392592e-06 -0.5254467154354905 -1.4732398141125096e-06 0.0008906209279730391 -0.0016216488784986899 0.16712479924410795 0.001997444927317631
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682587931651 -7.955472686392592e-06 -0.5254467154354905 -1.4732398141125096e-06 0.0008906209279730391 -0.0016216488784986899 0.16712479924410795 0.001997444927317631
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682587931651 -7.955472686392592e-06 -0.5254467154354905 -1.4732398141125096e-06 0.0008906209279730391 -0.0016216488784986899 0.16712479924410795 0.001997444927317631
-0.969125430789866 0.3225800541420908 -5.88701576923969 0.02377340564246472 -2.8030013912638187e-05 81.89682587931651 -7.955472686392592e-06 -0.5254467154354905 -1.4732398141125096e-06 0.0008906209279730391 -0.0016216488784986899 0.16712479924410795 0.001997444927317631
